Date,Open,High,Low,Close,AdjClose,Volume
2021-07-28,365.6000,367.4500,363.2400,365.8300,355.0341,42066200
2021-07-29,365.2500,367.6800,365.2500,366.4800,355.6649,25672500
2021-07-30,362.4400,365.1700,362.4100,364.5700,353.8113,36484600
2021-08-02,366.2800,366.8800,363.8700,364.6000,353.8405,27334100
2021-08-03,365.2800,366.9300,362.0000,366.8100,355.9852,35558500
2021-08-04,366.7700,368.3200,365.6300,367.3400,356.4995,29602200
2021-08-05,368.1800,369.9100,367.4500,369.6700,358.7608,21443900
2021-08-06,368.3700,369.3700,366.9100,368.0500,357.1886,33332100
2021-08-09,368.5200,369.2700,367.3900,368.7300,357.8485,25960200
2021-08-10,369.2600,369.5600,365.6200,366.8400,356.0143,35130800
2021-08-11,368.1400,368.6500,364.8400,366.2100,355.4029,34249800
2021-08-12,365.6900,367.9000,364.3000,367.5300,356.6840,25969200
2021-08-13,367.8900,369.1600,367.3800,368.8200,357.9359,19336200
2021-08-16,367.6700,369.0200,363.7000,368.9800,358.0911,34856900
2021-08-17,366.1500,367.1500,363.2300,365.7300,354.9371,44793900
2021-08-18,365.1800,366.6200,361.8700,362.2100,351.5210,38541900
2021-08-19,360.2200,365.6800,359.9600,363.9600,353.2193,48499400
2021-08-20,365.0600,368.1400,364.7400,367.7300,356.8781,39486000
2021-08-23,368.8000,373.9400,368.7900,373.2300,362.2158,34034700
2021-08-24,373.8400,374.9900,373.3600,374.3700,363.3221,21732900
2021-08-25,374.6300,375.3900,373.8600,374.8000,363.7394,20441900
2021-08-26,373.9200,374.6200,371.9700,372.4200,361.4296,29133300
2021-08-27,373.0700,376.5600,372.5700,376.0400,364.9429,27104700
2021-08-30,376.8500,380.7600,376.8300,380.2600,369.0384,27295700
2021-08-31,380.5100,380.5800,378.3600,379.9500,368.7375,29628200
2021-09-01,381.0400,382.7100,380.3700,380.5800,369.3488,28138300
2021-09-02,381.9700,382.3100,379.1500,380.4000,369.1741,25453400
2021-09-03,379.2200,381.9800,379.2000,381.5700,370.3096,24605400
2021-09-07,381.6800,382.7800,380.4900,382.1100,370.8336,23970200
2021-09-08,381.9300,381.9300,378.4500,380.7800,369.5430,32949200
2021-09-09,381.0100,382.1500,379.2200,379.4700,368.2715,29399000
2021-09-10,381.2300,381.9700,376.2500,376.5900,365.4765,40249400
2021-09-13,378.9900,379.4300,374.2200,376.3300,365.2242,48741800
2021-09-14,377.8600,378.6100,374.2800,375.2600,364.1858,41826600
2021-09-15,375.7300,378.4100,373.3700,378.0500,366.8935,34097900
2021-09-16,376.6800,378.9000,374.7000,378.3100,367.1458,35193100
2021-09-17,377.8200,377.8700,372.7600,373.8300,362.7980,60912300
2021-09-20,367.4600,369.2500,360.9300,365.7000,355.3015,76203200
2021-09-21,367.5800,368.8100,364.9900,366.1500,355.7386,41927500
2021-09-22,367.0900,371.0700,365.9600,369.5700,359.0613,46972900
2021-09-23,370.7600,374.0400,370.1000,372.9800,362.3745,44652000
2021-09-24,370.6500,373.7600,370.2700,373.3300,362.7144,36056800
2021-09-27,370.2000,371.2500,367.7300,370.3500,359.8192,43338100
2021-09-28,365.6700,370.3000,359.3500,359.8700,349.6372,97701600
2021-09-29,361.1700,363.3700,358.6400,359.2800,349.0640,58076600
2021-09-30,360.9700,362.6800,357.1000,357.9600,347.7815,61384600
2021-10-01,358.6000,361.2500,354.3800,360.1800,349.9384,56375500
2021-10-04,358.5200,358.8600,350.3200,352.6200,342.5933,76766000
2021-10-05,353.7100,359.6900,353.4800,357.3800,347.2180,47232900
2021-10-06,354.0800,359.9500,353.1500,359.6700,349.4428,56806500
